operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_0DF523E128,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.673588,P1,24,17782.73,Contactar en 24h y confirmar siguiente hito de cierre.,613,real_source:ranking_operaciones_riesgo_caida.parquet
OP_FC97E54B70,2026-07-05,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,0.663772,P1,24,62557.15,Contactar en 24h y confirmar siguiente hito de cierre.,13,real_source:ranking_operaciones_riesgo_caida.parquet
OP_36D3972FAB,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.6484,P1,24,20327.34,Contactar en 24h y confirmar siguiente hito de cierre.,553,real_source:ranking_operaciones_riesgo_caida.parquet
OP_E8DDFEA8D8,2026-07-05,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,0.647325,P1,24,83516.62,Contactar en 24h y confirmar siguiente hito de cierre.,3,real_source:ranking_operaciones_riesgo_caida.parquet
OP_5AEB7D7EDD,2026-07-05,Edificio Mariategui,ASESOR_950BED165C,sin_clasificar,0.634461,P1,24,60432.4,Contactar en 24h y confirmar siguiente hito de cierre.,14,real_source:ranking_operaciones_riesgo_caida.parquet
OP_117AFDD23F,2026-07-05,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,0.633747,P1,24,80980.05,Contactar en 24h y confirmar siguiente hito de cierre.,4,real_source:ranking_operaciones_riesgo_caida.parquet
OP_DDB7EC200E,2026-07-05,Tizón y Bueno,ASESOR_C6B4E60323,sin_clasificar,0.632871,P1,24,50980.16,Contactar en 24h y confirmar siguiente hito de cierre.,46,real_source:ranking_operaciones_riesgo_caida.parquet
OP_B68FE0C2B9,2026-07-05,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,0.632729,P1,24,63968.9,Contactar en 24h y confirmar siguiente hito de cierre.,12,real_source:ranking_operaciones_riesgo_caida.parquet
OP_1507DC4B18,2026-07-05,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,0.632289,P1,24,111842.97,Contactar en 24h y confirmar siguiente hito de cierre.,1,real_source:ranking_operaciones_riesgo_caida.parquet
OP_0D8471BF1F,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.631147,P1,24,20051.54,Contactar en 24h y confirmar siguiente hito de cierre.,563,real_source:ranking_operaciones_riesgo_caida.parquet
OP_CBB58858C0,2026-07-05,Sialia,ASESOR_9FCF63DC91,sin_clasificar,0.630866,P1,24,57311.32,Contactar en 24h y confirmar siguiente hito de cierre.,18,real_source:ranking_operaciones_riesgo_caida.parquet
