operation_id,fecha_accion,accion_tomada,resultado_7d,resultado_30d,caida_real_30d,comentario_operativo,source_mode
OP_1507DC4B18,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_FFB5E8B1BF,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_E8DDFEA8D8,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_117AFDD23F,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_87FFD2B963,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_79F694258C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B9CA6C83C4,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_3BFCF51AF3,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_4B5069507B,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_A5B24DFB71,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_AF5BD5B2DB,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B68FE0C2B9,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_FC97E54B70,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_5AEB7D7EDD,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_01B558E5E9,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_FB49869900,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_1EB8C654B0,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_CBB58858C0,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_55C17E6036,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_09354A32FF,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_F7CFE0334C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_E0FCD09E81,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_679136536C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_63739842E9,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_1B2C988B38,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_8A5B405982,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_76D2A9D606,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C0FDDD0D09,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_8B515C529C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_FE6B6F5197,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C758B19EEC,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_72AA546B39,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B84F4F8F5B,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_17A2083F16,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_66C78BE34A,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_BCEFB0FE03,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_D33D3526F1,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_2EACE88E0D,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_BBB80946E0,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B22BFAB2D3,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_2D72F6E1AD,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_99E7EFF06E,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C13F7D41B6,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_24395CB4B5,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_E58CCEBB9C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_DDB7EC200E,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_0F34610CF5,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_21DB6B88EA,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C889EAA3D7,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B2B32E0AE3,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_86C8A46E3A,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C0BA29CAE8,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_9ED30AEC5F,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_4FDC41FAFB,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_4D054A6F1F,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_CEEA3B5AEF,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_CA17668DD9,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_16B4D17600,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_3ECF71FAC4,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B453623583,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_ECE239F814,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_AE51023B0C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B60346AD96,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_620550A5AC,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_1182DBBE38,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C737755DF3,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_1B023CBF7E,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_68EB423A2F,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_957C00E44B,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_36BF23BA05,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_1B6E4BF153,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_09F493191B,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_884FD4A870,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_24A6B51C76,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_1EB3A6F13A,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_9E2ECB1AC5,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_17EE13F2AE,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_2B7AEAB657,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_9060CDD2E3,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_8A2CA303BF,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B4234B73AA,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_94C634AD64,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_2584CF737D,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_032FA878F6,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_4B67CBDAAA,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_C05595CD26,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_A060DB3360,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_B113934D9C,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_51DBAD0494,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_CBE53D06E6,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_0E311E3131,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_2B12120F0A,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_7AD73554C7,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_081DD41E60,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_38012BFBD6,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_EC5B9C831A,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_A4FCAF976A,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_BC0A48A213,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_79242256B5,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
OP_EC636377A9,,pendiente,pendiente,pendiente,,,real_source:feedback_log_template.parquet
