operation_id,ranking_capacity,proyecto,asesor_id,canal,riesgo_caida,valor_esperado_en_riesgo,dias_en_tuberia,prioridad,sla_horas,accion_recomendada,data_mode
OP_5FECEB66,1,Tradiciones Prime,ASESOR_1F3B24E1,sin_clasificar,0.6323,111842.97,906,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_6B86B273,2,Tradiciones Prime,ASESOR_1F3B24E1,sin_clasificar,0.627,93577.18,372,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_D4735E3A,3,Tizón y Bueno,ASESOR_26DEBB0E,sin_clasificar,0.6473,83516.62,665,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_4E074085,4,Tizón y Bueno,ASESOR_26DEBB0E,sin_clasificar,0.6337,80980.05,610,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_4B227777,5,Capadocia,ASESOR_2660085B,sin_clasificar,0.6093,78141.68,96,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_EF2D127D,6,Matera,ASESOR_B56EAA59,sin_clasificar,0.5456,76219.75,315,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_E7F6C011,7,Tradiciones Prime,ASESOR_B56EAA59,sin_clasificar,0.6152,75845.0,830,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_7902699B,8,Sialia,ASESOR_C931A67B,sin_clasificar,0.6289,74721.85,501,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_2C624232,9,Fenix,ASESOR_D5DBFC78,sin_clasificar,0.6219,70630.45,334,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_19581E27,10,Capadocia,ASESOR_2660085B,sin_clasificar,0.6166,69363.5,340,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
OP_4A44DC15,11,Fenix,ASESOR_26DEBB0E,sin_clasificar,0.6243,67068.74,416,P0_top_capacity_today,8,Actuar hoy: llamada asesor/gerencia y registrar resultado.,crm_aggregated_safe
