experiment_id,operation_id,assigned_at,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,accion_recomendada,eligible,experiment_arm,assignment_score,holdout_reason,data_mode
riesgo_caida_action_impact_v1,OP_0DF523E128,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.673588,high,17782.73,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.422506,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_FC97E54B70,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,P1,0.663772,high,62557.15,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.828214,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_36D3972FAB,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.6484,high,20327.34,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.035325,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_E8DDFEA8D8,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.647325,high,83516.62,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.982946,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_5AEB7D7EDD,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_950BED165C,sin_clasificar,P1,0.634461,high,60432.4,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.897911,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_117AFDD23F,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.633747,high,80980.05,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.065019,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_DDB7EC200E,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_C6B4E60323,sin_clasificar,P1,0.632871,high,50980.16,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.97033,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_B68FE0C2B9,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,P1,0.632729,high,63968.9,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.032821,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_1507DC4B18,2026-07-05T01:23:32.267615+00:00,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,P1,0.632289,high,111842.97,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.418847,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_0D8471BF1F,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.631147,high,20051.54,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.571255,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_CBB58858C0,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_9FCF63DC91,sin_clasificar,P1,0.630866,high,57311.32,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.615128,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_F0479D1991,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_E5897908D5,sin_clasificar,P1,0.629682,high,24085.34,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.424897,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_3BFCF51AF3,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_1265C8A465,sin_clasificar,P1,0.628892,high,74721.85,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.991864,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_23E0210ACE,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,P1,0.627211,high,16525.92,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.630759,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_FFB5E8B1BF,2026-07-05T01:23:32.267615+00:00,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,P1,0.626983,high,93577.18,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.585724,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_2D6D8726D2,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,P1,0.625434,high,18763.03,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.222974,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_85D626EEE5,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,P1,0.625434,high,18293.96,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.832294,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_ECE239F814,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,P1,0.624462,high,47998.04,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.667288,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_17A2083F16,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,P1,0.62442,high,53594.52,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.889045,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
