experiment_id,operation_id,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,experiment_arm,eligible,accion_tomada,resultado_7d,resultado_30d,outcome_class_7d,outcome_class_30d,is_positive_30d,is_negative_30d,is_pending_30d,treatment_contacted
riesgo_caida_action_impact_v1,OP_0DF523E128,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.673588,high,17782.73,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_FC97E54B70,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,P1,0.663772,high,62557.15,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_36D3972FAB,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.6484,high,20327.34,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_E8DDFEA8D8,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.647325,high,83516.62,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_5AEB7D7EDD,Edificio Mariategui,ASESOR_950BED165C,sin_clasificar,P1,0.634461,high,60432.4,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_117AFDD23F,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.633747,high,80980.05,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_DDB7EC200E,Tizón y Bueno,ASESOR_C6B4E60323,sin_clasificar,P1,0.632871,high,50980.16,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B68FE0C2B9,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,P1,0.632729,high,63968.9,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_1507DC4B18,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,P1,0.632289,high,111842.97,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_0D8471BF1F,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.631147,high,20051.54,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
