unit_id,proyecto,tipo_unidad,estado_comercial,precio,area_m2,precio_m2_calculado,data_mode,source_status
UNIT_3ED81FD858,Edificio Saenz,estacionamiento simple,vendido,34200.0,14.0,2442.86,real_source:unidades.parquet,ok
UNIT_A6F3E15287,Tizón y Bueno,departamento flat,proceso de venta,382336.33,65.54,5833.63,real_source:unidades.parquet,ok
UNIT_751CC60370,Modena,departamento flat,vendido,250000.0,40.21,6217.36,real_source:unidades.parquet,ok
UNIT_6C816C799A,Edificio Saenz,estacionamiento simple,vendido,40000.0,13.5,2962.96,real_source:unidades.parquet,ok
UNIT_6A0D30A2E3,Alicanto,departamento flat,vendido,262194.0,40.02,6551.57,real_source:unidades.parquet,ok
UNIT_87E6B09138,Edificio Saenz,departamento flat,vendido,393720.0,78.26,5030.92,real_source:unidades.parquet,ok
UNIT_EB9D40934B,Edificio Saenz,departamento flat,vendido,419000.0,78.26,5353.95,real_source:unidades.parquet,ok
UNIT_E8ACFBB7B5,Edificio Saenz,departamento flat,vendido,406980.0,78.26,5200.36,real_source:unidades.parquet,ok
UNIT_890BCB105F,Edificio Saenz,departamento flat,vendido,386100.0,78.73,4904.1,real_source:unidades.parquet,ok
UNIT_8AAB16BA13,Edificio Saenz,departamento flat,vendido,441440.0,85.64,5154.6,real_source:unidades.parquet,ok
UNIT_0DA1E41306,Edificio Saenz,departamento flat,vendido,387460.0,74.92,5171.65,real_source:unidades.parquet,ok
UNIT_F239D02250,Edificio Saenz,departamento flat,vendido,383720.0,78.26,4903.14,real_source:unidades.parquet,ok
UNIT_8DE326A771,Edificio Saenz,departamento flat,vendido,640344.0,78.73,8133.42,real_source:unidades.parquet,ok
UNIT_D3CD4C1A7A,Edificio Unique,estacionamiento simple,disponible,0.0,16.05,0.0,real_source:unidades.parquet,ok
UNIT_59A5D2E106,Edificio Saenz,estacionamiento simple,vendido,34200.0,12.36,2766.99,real_source:unidades.parquet,ok
UNIT_78E43962E1,Modena,departamento duplex,disponible,0.0,125.02,0.0,real_source:unidades.parquet,ok
UNIT_57C82ADA38,Alicanto,estacionamiento simple,proceso de separación,48708.0,13.5,3608.0,real_source:unidades.parquet,ok
UNIT_344C09DF5D,Matera,departamento flat,proceso de separación,465000.0,54.94,8463.78,real_source:unidades.parquet,ok
UNIT_8E1E76D783,Los Jardines de Urteaga,departamento flat,vendido,691512.0,96.03,7201.0,real_source:unidades.parquet,ok
UNIT_D4F23C1C83,Edificio Saenz,estacionamiento simple,vendido,39330.0,12.08,3255.79,real_source:unidades.parquet,ok
UNIT_A58B83EE45,Edificio Saenz,estacionamiento simple,vendido,39100.0,13.36,2926.65,real_source:unidades.parquet,ok
UNIT_BED3170DBD,Edificio Saenz,estacionamiento simple,vendido,40825.0,13.85,2947.65,real_source:unidades.parquet,ok
UNIT_3D75BD916F,Edificio Saenz,estacionamiento simple,vendido,35910.0,13.57,2646.28,real_source:unidades.parquet,ok
UNIT_7B120691E5,Edificio Saenz,estacionamiento simple,vendido,35705.0,13.57,2631.17,real_source:unidades.parquet,ok
UNIT_9178CA4D82,Edificio Saenz,estacionamiento simple,vendido,35910.0,12.08,2972.68,real_source:unidades.parquet,ok
UNIT_98FD48A066,Edificio Saenz,estacionamiento simple,vendido,35700.0,13.5,2644.44,real_source:unidades.parquet,ok
UNIT_179645D78C,Edificio Saenz,estacionamiento simple,vendido,35910.0,13.26,2708.14,real_source:unidades.parquet,ok
UNIT_339C28D82F,Edificio Saenz,estacionamiento simple,vendido,35700.0,14.42,2475.73,real_source:unidades.parquet,ok
UNIT_B72B613E3A,Edificio Saenz,estacionamiento simple,vendido,34200.0,12.59,2716.44,real_source:unidades.parquet,ok
UNIT_DD1269FCAC,Edificio Unique,estacionamiento simple,disponible,0.0,14.94,0.0,real_source:unidades.parquet,ok
UNIT_C092F391D1,Edificio Unique,depósito,disponible,0.0,1.75,0.0,real_source:unidades.parquet,ok
UNIT_0789564674,Sialia,departamento flat,vendido,442500.0,66.75,6629.21,real_source:unidades.parquet,ok
UNIT_8BDC2CF1F3,Matera,departamento flat,disponible,0.0,40.02,0.0,real_source:unidades.parquet,ok
UNIT_8F5CF0B12B,Matera,estacionamiento simple,no disponible,0.0,12.5,0.0,real_source:unidades.parquet,ok
UNIT_D5916F07A4,Edificio Saenz,departamento flat,vendido,406980.0,78.26,5200.36,real_source:unidades.parquet,ok
UNIT_E97599C059,Edificio Saenz,estacionamiento simple,vendido,34200.0,13.26,2579.19,real_source:unidades.parquet,ok
UNIT_3EE23FAF75,Torre Nápoles,depósito,disponible,0.0,3.1,0.0,real_source:unidades.parquet,ok
UNIT_830798AE29,Edificio Saenz,depósito,vendido,16689.0,4.88,3419.88,real_source:unidades.parquet,ok
UNIT_7748293588,Edificio Saenz,depósito,vendido,10000.0,4.88,2049.18,real_source:unidades.parquet,ok
UNIT_39F3FDAA3C,Edificio Saenz,depósito,vendido,18468.0,5.4,3420.0,real_source:unidades.parquet,ok
UNIT_D1EEC0E7F2,Modena,estacionamiento simple,proceso de separación,43776.0,12.0,3648.0,real_source:unidades.parquet,ok
UNIT_350ABF6F99,Sialia,departamento flat,vendido,265824.0,40.0,6645.6,real_source:unidades.parquet,ok
UNIT_FDF97DB4CA,Edificio Urbanzen,departamento flat,entregado,648334.0,116.82,5549.85,real_source:unidades.parquet,ok
UNIT_4C746670DA,Matera,departamento flat,disponible,0.0,53.93,0.0,real_source:unidades.parquet,ok
UNIT_0E5A879BC4,Torre Nápoles,departamento flat,disponible,0.0,55.48,0.0,real_source:unidades.parquet,ok
UNIT_D4A2E4198F,Matera,departamento flat,vendido,416162.0,54.94,7574.85,real_source:unidades.parquet,ok
UNIT_F5E70DF1B5,Matera,departamento flat,proceso de separación,465510.0,54.94,8473.06,real_source:unidades.parquet,ok
UNIT_C2B469FC55,Modena,departamento flat,disponible,0.0,53.02,0.0,real_source:unidades.parquet,ok
UNIT_D1003F8C5D,Edificio Cuba Connect,departamento flat,vendido,344190.0,49.17,7000.0,real_source:unidades.parquet,ok
UNIT_884C350DCC,Torre Nápoles,departamento flat,disponible,0.0,55.48,0.0,real_source:unidades.parquet,ok
UNIT_01ECAF4142,Edificio Unique,departamento flat,disponible,0.0,55.32,0.0,real_source:unidades.parquet,ok
UNIT_244CCE1D08,Edificio Saenz,departamento flat,vendido,417100.0,81.69,5105.89,real_source:unidades.parquet,ok
UNIT_6FC9B34390,Edificio Saenz,estacionamiento simple,vendido,34200.0,13.36,2559.88,real_source:unidades.parquet,ok
UNIT_922EF2236E,Edificio Saenz,estacionamiento simple,vendido,34200.0,13.57,2520.27,real_source:unidades.parquet,ok
UNIT_41ACCAC387,Edificio Saenz,departamento flat,proceso de venta,374300.0,74.92,4996.0,real_source:unidades.parquet,ok
UNIT_243B761EB1,Torre Nápoles,depósito,disponible,0.0,2.1,0.0,real_source:unidades.parquet,ok
UNIT_2380DE0FAF,Capadocia,estacionamiento simple,proceso de separación,48450.0,12.5,3876.0,real_source:unidades.parquet,ok
UNIT_6548929519,Torre Nápoles,depósito,disponible,0.0,3.7,0.0,real_source:unidades.parquet,ok
UNIT_696A5B230D,Matera,departamento flat,disponible,0.0,36.39,0.0,real_source:unidades.parquet,ok
UNIT_1F364C9CB5,Fenix,departamento flat,proceso de separación,423776.54,58.7,7219.36,real_source:unidades.parquet,ok
