periodo_mes,proyecto,tipo_unidad,stock_total,stock_disponible,stock_vendido,stock_en_proceso,stock_valorizado,area_total,absorcion_real_proxy,metric_mode,data_mode
2022-02,Edificio Valdizan,departamento flat,2,0,2,0,1216800.0,148.5,1.0,current_snapshot_real,real_source:unidades.parquet
2022-03,Edificio Valdizan,departamento flat,2,0,2,0,1222200.0,148.04,1.0,current_snapshot_real,real_source:unidades.parquet
2022-03,Edificio Valdizan,estacionamiento simple,2,0,2,0,102500.0,25.5,1.0,current_snapshot_real,real_source:unidades.parquet
2022-05,Edificio Valdizan,departamento flat,1,0,1,0,553400.0,67.55,1.0,current_snapshot_real,real_source:unidades.parquet
2022-05,Edificio Valdizan,estacionamiento simple,1,0,1,0,51250.0,13.5,1.0,current_snapshot_real,real_source:unidades.parquet
2022-06,Edificio Valdizan,departamento flat,1,0,1,0,615800.0,74.02,1.0,current_snapshot_real,real_source:unidades.parquet
2022-06,Edificio Valdizan,estacionamiento simple,1,0,1,0,51250.0,13.5,1.0,current_snapshot_real,real_source:unidades.parquet
2022-08,Edificio Valdizan,departamento flat,2,0,2,0,1211000.0,148.96,1.0,current_snapshot_real,real_source:unidades.parquet
2022-11,Edificio Valdizan,departamento flat,1,0,1,0,606400.0,74.02,1.0,current_snapshot_real,real_source:unidades.parquet
2022-11,Edificio Valdizan,estacionamiento simple,1,0,1,0,51250.0,13.5,1.0,current_snapshot_real,real_source:unidades.parquet
2022-12,Edificio Valdizan,departamento duplex,1,0,1,0,987200.0,142.4,1.0,current_snapshot_real,real_source:unidades.parquet
2022-12,Edificio Valdizan,departamento flat,1,0,1,0,527700.0,67.55,1.0,current_snapshot_real,real_source:unidades.parquet
2022-12,Edificio Valdizan,estacionamiento simple,1,0,1,0,58630.0,13.25,1.0,current_snapshot_real,real_source:unidades.parquet
2023-01,Edificio Valdizan,departamento duplex,1,0,1,0,960200.0,136.29,1.0,current_snapshot_real,real_source:unidades.parquet
2023-03,Edificio Valdizan,departamento flat,2,0,2,0,1064100.0,135.1,1.0,current_snapshot_real,real_source:unidades.parquet
2023-05,Edificio Unique,departamento duplex,1,1,0,0,982800.0,153.95,0.0,current_snapshot_real,real_source:unidades.parquet
2023-05,Edificio Unique,departamento flat,10,10,0,0,4699800.0,682.04,0.0,current_snapshot_real,real_source:unidades.parquet
2023-05,Edificio Unique,depósito,1,1,0,0,7175.0,1.75,0.0,current_snapshot_real,real_source:unidades.parquet
2023-05,Edificio Unique,estacionamiento simple,5,5,0,0,276604.0,67.49000000000001,0.0,current_snapshot_real,real_source:unidades.parquet
2023-06,Edificio Unique,departamento flat,2,2,0,0,930000.0,131.93,0.0,current_snapshot_real,real_source:unidades.parquet
2023-06,Edificio Unique,estacionamiento simple,2,2,0,0,118592.0,28.93,0.0,current_snapshot_real,real_source:unidades.parquet
2023-06,Edificio Valdizan,departamento flat,1,0,1,0,536300.0,67.55,1.0,current_snapshot_real,real_source:unidades.parquet
2023-11,Edificio Valdizan,departamento flat,1,0,1,0,562000.0,67.55,1.0,current_snapshot_real,real_source:unidades.parquet
2024-08,Edificio Valdizan,departamento flat,4,0,4,0,2371100.0,297.46000000000004,1.0,current_snapshot_real,real_source:unidades.parquet
2024-08,Edificio Valdizan,estacionamiento simple,3,0,3,0,153750.0,39.0,1.0,current_snapshot_real,real_source:unidades.parquet
2024-10,Tradiciones Prime,departamento duplex,2,2,0,0,3404570.96,519.16,0.0,current_snapshot_real,real_source:unidades.parquet
2024-10,Tradiciones Prime,departamento flat,2,1,1,0,1826515.0,229.56,0.5,current_snapshot_real,real_source:unidades.parquet
2024-10,Tradiciones Prime,departamento triplex,1,1,0,0,1022354.12,146.5,0.0,current_snapshot_real,real_source:unidades.parquet
2024-10,Tradiciones Prime,estacionamiento doble,2,2,0,0,185200.0,48.76,0.0,current_snapshot_real,real_source:unidades.parquet
2024-10,Tradiciones Prime,estacionamiento simple,3,3,0,0,195700.0,40.769999999999996,0.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Cuba Connect,departamento duplex,2,0,2,0,2025492.0,322.72,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Cuba Connect,departamento flat,114,0,114,0,66121997.2,8758.18,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Cuba Connect,depósito,18,0,18,0,247049.0,65.31,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Cuba Connect,estacionamiento simple,90,0,90,0,4069350.0,1315.9,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Cuba Connect,local comercial,1,1,0,0,1046607.0,102.1,0.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Saenz,departamento flat,69,0,55,14,32643181.4,5551.87,0.797101,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Saenz,depósito,6,0,5,1,94787.0,29.7,0.833333,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Saenz,estacionamiento simple,63,1,53,9,2351264.55,833.05,0.84127,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Santa Cruz Infinite,departamento duplex,3,0,3,0,2704300.0,424.48,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Santa Cruz Infinite,departamento flat,92,0,85,7,48249188.0,6608.73,0.923913,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Santa Cruz Infinite,depósito,13,2,9,2,131522.0,32.94,0.692308,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Santa Cruz Infinite,estacionamiento doble,4,3,1,0,382700.0,96.0,0.25,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Santa Cruz Infinite,estacionamiento simple,71,11,56,4,3332095.0,953.37,0.788732,current_snapshot_real,real_source:unidades.parquet
2025-01,Edificio Valdizan,estacionamiento simple,4,0,4,0,205000.0,51.25,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Los Jardines de Urteaga,departamento duplex,2,0,2,0,2060650.0,392.15,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Los Jardines de Urteaga,departamento flat,36,0,36,0,23542697.0,3648.65,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Los Jardines de Urteaga,estacionamiento doble,1,0,1,0,68400.0,31.0,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Los Jardines de Urteaga,estacionamiento simple,33,0,33,0,1256408.08,408.75,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Tradiciones Prime,departamento duplex,1,0,1,0,1207784.0,150.94,1.0,current_snapshot_real,real_source:unidades.parquet
2025-01,Tradiciones Prime,estacionamiento simple,1,0,1,0,72500.0,15.1,1.0,current_snapshot_real,real_source:unidades.parquet
2025-02,Edificio Mariategui,departamento flat,59,0,59,0,29786739.53,4147.01,1.0,current_snapshot_real,real_source:unidades.parquet
2025-02,Edificio Mariategui,depósito,7,3,4,0,94546.0,24.47,0.571429,current_snapshot_real,real_source:unidades.parquet
2025-02,Edificio Mariategui,estacionamiento con depósito,1,0,1,0,60800.0,16.03,1.0,current_snapshot_real,real_source:unidades.parquet
2025-02,Edificio Mariategui,estacionamiento simple,40,1,39,0,2228800.0,591.35,0.975,current_snapshot_real,real_source:unidades.parquet
2025-02,Edificio Mariategui,local comercial,1,0,1,0,577500.0,41.81,1.0,current_snapshot_real,real_source:unidades.parquet
2025-05,Tradiciones Prime,departamento flat,1,1,0,0,1124407.2,130.49,0.0,current_snapshot_real,real_source:unidades.parquet
2025-07,Tradiciones Prime,estacionamiento doble,2,1,0,1,185200.0,48.76,0.0,current_snapshot_real,real_source:unidades.parquet
2025-09,Edificio Cuba Connect,estacionamiento simple,1,0,1,0,43050.0,15.0,1.0,current_snapshot_real,real_source:unidades.parquet
2025-09,Edificio Santa Cruz Infinite,departamento flat,1,0,1,0,525200.0,71.27,1.0,current_snapshot_real,real_source:unidades.parquet
2025-09,Edificio Unique,departamento flat,1,1,0,0,385600.0,55.32,0.0,current_snapshot_real,real_source:unidades.parquet
