id_operacion,fecha_separacion,proyecto,asesor,medio_captacion,canal_agrupado,tipo_unidad,dormitorios,precio_departamento,dias_en_tuberia,tiene_cuota_inicial,cambios_unidad,interacciones_ult_7d,descuento_pct,caida_30d
OP-000001,2026-05-29,Proyecto Faro,Asesor Centro,sala de ventas,tradicional,departamento,2,629966.0,11,True,0,4,0.0623,1
OP-000002,2025-03-29,Proyecto Cobalto,Asesora Premium,facebook,digital,departamento,3,643119.0,32,True,0,3,0.0116,1
OP-000003,2025-08-13,Proyecto Granito,Asesor Centro,web,digital,departamento,1,375775.0,15,True,0,2,0.0113,0
OP-000004,2025-11-11,Proyecto Ébano,Asesor Centro,facebook,digital,departamento,2,430994.0,25,True,1,3,0.0201,0
OP-000005,2025-08-12,Proyecto Aurora,Asesora Oeste,sala de ventas,tradicional,departamento,2,491176.0,8,True,0,4,0.0613,0
OP-000006,2025-08-02,Proyecto Horizonte,Asesora Sur,facebook,digital,departamento,3,655927.0,33,True,0,1,0.0129,0
OP-000007,2025-01-20,Proyecto Faro,Asesora Sur,facebook,digital,departamento,3,556408.0,24,False,1,2,0.035,0
OP-000008,2025-09-06,Proyecto Faro,Asesora Premium,sala de ventas,tradicional,departamento,3,658572.0,14,True,0,2,0.0321,0
OP-000009,2026-04-28,Proyecto Aurora,Asesor Norte,feria,feria,departamento,2,445204.0,95,False,0,1,0.0,1
OP-000010,2026-03-31,Proyecto Cobalto,Asesor Norte,facebook,digital,departamento,2,513187.0,18,False,0,0,0.0247,0
OP-000011,2026-02-20,Proyecto Cobalto,Asesor Este,referido,tradicional,departamento,2,508296.0,38,True,1,3,0.015,0
OP-000012,2025-02-10,Proyecto Horizonte,Asesora Premium,referido,tradicional,departamento,2,510545.0,6,False,0,3,0.0372,1
OP-000013,2025-03-07,Proyecto Ébano,Asesor Centro,portal inmobiliario,digital,departamento,1,427806.0,31,True,0,1,0.0563,0
OP-000014,2025-10-02,Proyecto Faro,Asesor Centro,sala de ventas,tradicional,departamento,3,607615.0,36,True,0,2,0.0188,0
OP-000015,2025-06-04,Proyecto Cobalto,Asesora Oeste,sala de ventas,tradicional,departamento,3,575191.0,42,False,0,4,0.0188,0
OP-000016,2025-04-01,Proyecto Bruma,Asesor Norte,facebook,digital,departamento,2,442725.0,39,True,0,0,0.0703,0
OP-000017,2025-04-07,Proyecto Duna,Asesor Este,facebook,digital,departamento,3,673204.0,8,True,0,6,0.0122,0
OP-000018,2025-04-06,Proyecto Aurora,Asesor Norte,facebook,digital,departamento,3,559569.0,22,True,0,1,0.0008,0
OP-000019,2025-02-17,Proyecto Faro,Asesora Premium,feria,feria,departamento,2,595484.0,70,True,0,1,0.0498,0
OP-000020,2025-11-14,Proyecto Ébano,Asesora Premium,sala de ventas,tradicional,departamento,1,491092.0,14,True,0,0,0.0241,0
OP-000021,2025-08-04,Proyecto Faro,Asesora Sur,sala de ventas,tradicional,departamento,1,364370.0,40,True,0,2,0.0301,0
OP-000022,2025-12-15,Proyecto Cobalto,Asesor Este,facebook,digital,departamento,2,323345.0,114,True,0,0,0.0652,0
OP-000023,2025-04-22,Proyecto Horizonte,Asesor Este,feria,feria,departamento,2,601448.0,78,True,1,0,0.0,1
OP-000024,2025-11-12,Proyecto Granito,Asesor Digital,portal inmobiliario,digital,departamento,1,398192.0,9,True,0,0,0.0215,0
OP-000025,2025-04-06,Proyecto Faro,Asesora Oeste,web,digital,departamento,1,357360.0,38,True,1,1,0.0027,1
OP-000026,2026-04-26,Proyecto Bruma,Asesora Premium,referido,tradicional,departamento,1,324621.0,39,True,0,4,0.031,0
OP-000027,2025-03-31,Proyecto Cobalto,Asesora Oeste,web,digital,departamento,3,576185.0,34,False,0,2,0.015,1
OP-000028,2026-02-18,Proyecto Aurora,Asesor Centro,web,digital,departamento,3,646346.0,8,True,0,0,0.0039,1
OP-000029,2025-12-23,Proyecto Aurora,Asesora Oeste,sala de ventas,tradicional,departamento,2,468795.0,25,True,0,2,0.0382,0
OP-000030,2025-04-14,Proyecto Ébano,Asesora Sur,referido,tradicional,departamento,1,463598.0,25,True,0,0,0.0252,0
OP-000031,2025-02-17,Proyecto Faro,Asesor Digital,feria,feria,departamento,1,432182.0,7,True,0,1,0.0025,0
OP-000032,2025-11-27,Proyecto Horizonte,Asesor Centro,facebook,digital,departamento,1,411992.0,18,True,0,1,0.0036,0
OP-000033,2025-01-23,Proyecto Bruma,Asesora Premium,web,digital,departamento,2,450530.0,26,True,1,3,0.0287,0
OP-000034,2025-11-19,Proyecto Cobalto,Asesor Digital,referido,tradicional,departamento,1,399888.0,21,False,0,4,0.0,1
OP-000035,2025-12-19,Proyecto Cobalto,Asesora Sur,referido,tradicional,departamento,2,529123.0,35,False,0,2,0.0291,0
