model_id,algorithm,dataset_version,status,metric_roc_auc,metric_average_precision,metric_threshold,metric_precision,metric_recall,metric_f1,metric_tn,metric_fp,metric_fn,metric_tp,metric_base_event_rate,metric_top_decile_event_rate,metric_top_decile_lift,metric_train_rows,metric_test_rows,metric_dataset_version,metric_data_mode
riesgo_caida_logistic_regression_dataset_riesgo_caida_crm_2026_07_03_v001_c01,logistic_regression,dataset_riesgo_caida_crm_2026_07_03_v001,challenger,0.5178793808930795,0.09596477580853703,0.4,0.09574468085106383,0.8181818181818182,0.17142857142857143,208,595,14,63,0.0875,0.07954545454545454,0.9090909090909092,2638,880,dataset_riesgo_caida_crm_2026_07_03_v001,crm
riesgo_caida_random_forest_dataset_riesgo_caida_crm_2026_07_03_v001_c02,random_forest,dataset_riesgo_caida_crm_2026_07_03_v001,challenger,0.5235642315343437,0.11622117236398827,0.4,0.09090909090909091,0.961038961038961,0.16610549943883277,63,740,3,74,0.0875,0.06818181818181818,0.7792207792207793,2638,880,dataset_riesgo_caida_crm_2026_07_03_v001,crm
riesgo_caida_gradient_boosting_dataset_riesgo_caida_crm_2026_07_03_v001_c03,gradient_boosting,dataset_riesgo_caida_crm_2026_07_03_v001,challenger,0.4969837136711358,0.0943966829429236,0.4,0.13333333333333333,0.025974025974025976,0.043478260869565216,790,13,75,2,0.0875,0.07954545454545454,0.9090909090909092,2638,880,dataset_riesgo_caida_crm_2026_07_03_v001,crm
riesgo_caida_logistic_regression_dataset_riesgo_caida_sperant_2026_07_03_v002_c01,logistic_regression,dataset_riesgo_caida_sperant_2026_07_03_v002,challenger,0.45586937334510147,0.05034526245210877,0.4,0.043478260869565216,0.36363636363636365,0.07766990291262135,118,88,7,4,0.05069124423963134,0.0,0.0,648,217,dataset_riesgo_caida_sperant_2026_07_03_v002,sperant
riesgo_caida_random_forest_dataset_riesgo_caida_sperant_2026_07_03_v002_c02,random_forest,dataset_riesgo_caida_sperant_2026_07_03_v002,challenger,0.4854368932038835,0.05267995673899595,0.4,0.054187192118226604,1.0,0.102803738317757,14,192,0,11,0.05069124423963134,0.0,0.0,648,217,dataset_riesgo_caida_sperant_2026_07_03_v002,sperant
riesgo_caida_gradient_boosting_dataset_riesgo_caida_sperant_2026_07_03_v002_c03,gradient_boosting,dataset_riesgo_caida_sperant_2026_07_03_v002,challenger,0.49139452780229476,0.05462174318268548,0.4,0.0,0.0,0.0,203,3,11,0,0.05069124423963134,0.0,0.0,648,217,dataset_riesgo_caida_sperant_2026_07_03_v002,sperant
riesgo_caida_logistic_regression_dataset_riesgo_caida_sperant_2026_07_03_v003_c01,logistic_regression,dataset_riesgo_caida_sperant_2026_07_03_v003,challenger,0.46056941295036535,0.09724844482774159,0.4,0.09090909090909091,0.23809523809523808,0.13157894736842105,139,50,16,5,0.1,0.09523809523809523,0.9523809523809523,629,210,dataset_riesgo_caida_sperant_2026_07_03_v003,sperant
riesgo_caida_random_forest_dataset_riesgo_caida_sperant_2026_07_03_v003_c02,random_forest,dataset_riesgo_caida_sperant_2026_07_03_v003,challenger,0.37074829931972786,0.07802125769320345,0.4,0.10396039603960396,1.0,0.18834080717488788,8,181,0,21,0.1,0.0,0.0,629,210,dataset_riesgo_caida_sperant_2026_07_03_v003,sperant
riesgo_caida_gradient_boosting_dataset_riesgo_caida_sperant_2026_07_03_v003_c03,gradient_boosting,dataset_riesgo_caida_sperant_2026_07_03_v003,challenger,0.4323507180650038,0.12329568888280894,0.4,0.0,0.0,0.0,186,3,21,0,0.1,0.09523809523809523,0.9523809523809523,629,210,dataset_riesgo_caida_sperant_2026_07_03_v003,sperant
riesgo_caida_logistic_regression_dataset_riesgo_caida_sperant_2026_07_03_v004_c01,logistic_regression,dataset_riesgo_caida_sperant_2026_07_03_v004,challenger,0.3391943734015346,0.09568348368743437,0.4,0.03333333333333333,0.17647058823529413,0.056074766355140186,97,87,14,3,0.0845771144278607,0.1,1.1823529411764706,600,201,dataset_riesgo_caida_sperant_2026_07_03_v004,sperant
riesgo_caida_random_forest_dataset_riesgo_caida_sperant_2026_07_03_v004_c02,random_forest,dataset_riesgo_caida_sperant_2026_07_03_v004,challenger,0.41687979539641945,0.07124680393447516,0.4,0.0845771144278607,1.0,0.1559633027522936,0,184,0,17,0.0845771144278607,0.0,0.0,600,201,dataset_riesgo_caida_sperant_2026_07_03_v004,sperant
riesgo_caida_gradient_boosting_dataset_riesgo_caida_sperant_2026_07_03_v004_c03,gradient_boosting,dataset_riesgo_caida_sperant_2026_07_03_v004,challenger,0.4613171355498721,0.24976831644268455,0.4,1.0,0.17647058823529413,0.3,184,0,14,3,0.0845771144278607,0.15,1.7735294117647058,600,201,dataset_riesgo_caida_sperant_2026_07_03_v004,sperant
