decile,rows,positives,avg_score,min_score,max_score,valor_total,valor_caidas,event_rate,baseline_rate,lift,capture_rate,cum_rows,cum_positives,cum_capture_rate,cum_population_rate,cum_lift
1,88,8,0.6183964955263573,0.5979864867156365,0.6896449102801437,32283838.27,3514704.29,0.09090909090909091,0.0875,1.038961038961039,0.1038961038961039,88,8,0.1038961038961039,0.1,1.0389610389610389
2,88,6,0.5855134650121574,0.5740298050740661,0.5979665723378573,33360872.69,2001716.25,0.06818181818181818,0.0875,0.7792207792207793,0.07792207792207792,176,14,0.18181818181818182,0.2,0.9090909090909091
3,88,8,0.561028358527118,0.5493831601816525,0.5739092285777,37561017.28,2692261.59,0.09090909090909091,0.0875,1.038961038961039,0.1038961038961039,264,22,0.2857142857142857,0.3,0.9523809523809523
4,88,8,0.5375545858280596,0.5287207171428525,0.549249727975022,38704124.16,3433093.55,0.09090909090909091,0.0875,1.038961038961039,0.1038961038961039,352,30,0.38961038961038963,0.4,0.974025974025974
5,88,4,0.5223620017666382,0.5166782046791427,0.5287070986558262,36423586.54,2001980.0,0.045454545454545456,0.0875,0.5194805194805195,0.05194805194805195,440,34,0.44155844155844154,0.5,0.8831168831168831
6,88,18,0.5109439774896286,0.5035631286764819,0.5166609989264529,35131094.99,7449234.06,0.20454545454545456,0.0875,2.337662337662338,0.23376623376623376,528,52,0.6753246753246753,0.6,1.1255411255411256
7,88,10,0.493831777387167,0.48268689964680866,0.5029955548496797,35927607.83,4081841.19,0.11363636363636363,0.0875,1.2987012987012987,0.12987012987012986,616,62,0.8051948051948052,0.7,1.150278293135436
8,88,4,0.473832502650782,0.4647049312995089,0.4826514741750554,35251640.45,1549832.0,0.045454545454545456,0.0875,0.5194805194805195,0.05194805194805195,704,66,0.8571428571428571,0.8,1.0714285714285714
9,88,6,0.4510142122746865,0.4295777885706404,0.4647030269359283,35860943.91,2679081.04,0.06818181818181818,0.0875,0.7792207792207793,0.07792207792207792,792,72,0.935064935064935,0.9,1.0389610389610389
10,88,5,0.38299368184815735,0.32478401134140367,0.4247670366247547,36884733.63,2115471.06,0.056818181818181816,0.0875,0.6493506493506493,0.06493506493506493,880,77,1.0,1.0,1.0
