threshold,precision,recall,f1,f2,tp,fp,tn,fn
0.1,0.0875,1.0,0.16091954022988506,0.32407407407407407,77,803,0,0
0.15,0.0875,1.0,0.16091954022988506,0.32407407407407407,77,803,0,0
0.2,0.0875,1.0,0.16091954022988506,0.32407407407407407,77,803,0,0
0.25,0.0875,1.0,0.16091954022988506,0.32407407407407407,77,803,0,0
0.3,0.0875,1.0,0.16091954022988506,0.32407407407407407,77,803,0,0
0.35,0.08881199538638986,1.0,0.163135593220339,0.32765957446808514,77,790,13,0
0.4,0.09024390243902439,0.961038961038961,0.16499442586399107,0.32801418439716307,74,746,57,3
0.45,0.08982826948480846,0.8831168831168831,0.1630695443645084,0.3192488262910798,68,689,114,9
0.5,0.09981515711645102,0.7012987012987013,0.17475728155339806,0.31802120141342755,54,487,316,23
0.55,0.08045977011494253,0.2727272727272727,0.1242603550295858,0.1845342706502636,21,240,563,56
0.6,0.075,0.07792207792207792,0.07643312101910828,0.07731958762886598,6,74,729,71
0.65,0.5,0.025974025974025976,0.04938271604938271,0.032051282051282055,2,2,801,75
0.7,0.0,0.0,0.0,0.0,0,0,803,77
0.75,0.0,0.0,0.0,0.0,0,0,803,77
0.8,0.0,0.0,0.0,0.0,0,0,803,77
