bin,rows,avg_score,event_rate,positives,min_score,max_score,calibration_gap
1,88,0.4190011673567391,0.056818181818181816,5,0.3469380352671297,0.4650134490796084,-0.36218298553855727
2,88,0.48093063528145147,0.07954545454545454,7,0.4656838561278382,0.4935876403736346,-0.40138518073599694
3,88,0.5037044784711596,0.11363636363636363,10,0.49389479608596437,0.5105108839477069,-0.390068114834796
4,88,0.5195539941091585,0.07954545454545454,7,0.5108153629543385,0.5279499245462969,-0.44000853956370395
5,88,0.5356856261616485,0.125,11,0.5280497941533329,0.54328480101994,-0.4106856261616485
6,88,0.5499092884623716,0.11363636363636363,10,0.5436519336803608,0.5562674657461965,-0.436272924826008
7,88,0.565688608789469,0.07954545454545454,7,0.5562684143608753,0.5768754887712088,-0.4861431542440145
8,88,0.587842393425079,0.06818181818181818,6,0.5770487632306498,0.5983882383901399,-0.5196605752432608
9,88,0.6085431972522991,0.056818181818181816,5,0.5987720416240713,0.6194816362626095,-0.5517250154341173
10,88,0.6361309755657151,0.10227272727272728,9,0.6195961128347051,0.7019420000109776,-0.5338582482929878
